kod_sekolah,nama_sekolah,kategori,daerah,status
BBA7228,KAFA INTEGRASI SUNGAI PUSU,KAFAI,GOMBAK,AKTIF
BBA7237,KAFA INTEGRASI TAMAN PELANGI,KAFAI,GOMBAK,AKTIF
BYP7001,SRA TAMAN PERMATA,SRA,GOMBAK,AKTIF
BYP7002,SRA KG SG TUA BHARU,SRA,GOMBAK,AKTIF
BYP7003,SRA TAMAN EHSAN,SRA,GOMBAK,AKTIF
BYP7004,SRA IBNU KHALDUN,SRA,GOMBAK,AKTIF
BYP7005,SRA ZAHIDIAH KG MELAYU SG BULUH,SRA,GOMBAK,AKTIF
BYP7006,SRA BATU ARANG,SRA,GOMBAK,AKTIF
BYP7007,SRA KUANG RAWANG,SRA,GOMBAK,AKTIF
BYP7008,SRA SELAYANG BARU,SRA,GOMBAK,AKTIF
BYP7009,SRA AN NUR KG MELAYU SERI KUNDANG,SRA,GOMBAK,AKTIF
BYP7010,SRA AS SIDDIQIN,SRA,GOMBAK,AKTIF
BYP7011,SRA NURUL IMAN MASJID AT-TAQWA,SRA,GOMBAK,AKTIF
BYP7012,SEKOLAH RENDAH AGAMA AL-HIDAYAH,SRA,GOMBAK,AKTIF
BYP7013,SRA SG CHINCHIN,SRA,GOMBAK,AKTIF
BYP7014,SEKOLAH RENDAH AGAMA BANDAR COUNTRY HOMES,SRA,GOMBAK,AKTIF
BYR7001,SRAI TAMAN KERAMAT,SRA,GOMBAK,AKTIF
BYR7002,SRAI SUNGAI CHINCHIN,SRA,GOMBAK,AKTIF
BYT7001,KAFA INTEGRASI AN-NUR (JHEOA),KAFAI,GOMBAK,AKTIF
BYT7002,KAFA INTEGRASI DARUL MUHAJIRIN,KAFAI,GOMBAK,AKTIF
BYT7003,KAFA INTEGRASI AL-AMANIAH,KAFAI,GOMBAK,AKTIF
BYT7004,KAFA INTEGRASI AR-RAHIMAH,KAFAI,GOMBAK,AKTIF
BYT7005,KAFA INTEGRASI UBUDIAH,KAFAI,GOMBAK,AKTIF
BYT7006,KAFA INTEGRASI AL-EHSAN,KAFAI,GOMBAK,AKTIF
BYT7007,KAFA INTEGRASI AS-SYARIFF,KAFAI,GOMBAK,AKTIF
BYT7008,KAFA INTEGRASI AL-ITTIHAD,KAFAI,GOMBAK,AKTIF
BYT7009,KAFA INTEGRASI MASJID LAMA BT.6,KAFAI,GOMBAK,AKTIF
BYT7010,KAFA INTEGRASI IBTIDAIYYAH,KAFAI,GOMBAK,AKTIF
BYT7011,KAFA INTEGRASI KLANG GATE BARU,KAFAI,GOMBAK,AKTIF
BYT7012,KAFA INTEGRASI IHSANIAH,KAFAI,GOMBAK,AKTIF
BYT7013,KAFA INTEGRASI SAIDATINA AISHAH,KAFAI,GOMBAK,AKTIF
BYT7014,KAFA INTEGRASI AL-AZIZIAH,KAFAI,GOMBAK,AKTIF
BYT7015,KAFA INTEGRASI SOLAHIYYAH DAMAI,KAFAI,GOMBAK,AKTIF
BYT7016,KAFA INTEGRASI ISLAMIAH,KAFAI,GOMBAK,AKTIF
BYT7018,KAFA INTEGRASI AL-RASYIDIN,KAFAI,GOMBAK,AKTIF
BYT7019,KAFA INTEGRASI AU4,KAFAI,GOMBAK,AKTIF
BYT7020,KAFA INTEGRASI AS-SOBIRIN,KAFAI,GOMBAK,AKTIF
BYT7021,KAFA INTEGRASI AT-TAQWA,KAFAI,GOMBAK,AKTIF
BYT7022,KAFA INTEGRASI MUWAFAQAH,KAFAI,GOMBAK,AKTIF
BYT7023,KAFA INTEGRASI AL-HILALIAH,KAFAI,GOMBAK,AKTIF
BYT7024,KAFA INTEGRASI AR-RIDHUAN,KAFAI,GOMBAK,AKTIF
BYT7025,KAFA INTEGRASI JABAL NUR,KAFAI,GOMBAK,AKTIF
BYT7026,KAFA INTEGRASI FRIM,KAFAI,GOMBAK,AKTIF
BYT7027,KAFA INTEGRASI AL-KHAIRIAH,KAFAI,GOMBAK,AKTIF
BYT7028,KAFA INTEGRASI SG. SERAI,KAFAI,GOMBAK,AKTIF
BYT7029,KAFA INTEGRASI TMN MELAWATI,KAFAI,GOMBAK,AKTIF
BYT7030,KAFA INTEGRASI AL-HUMAIRA',KAFAI,GOMBAK,AKTIF
BYT7031,KAFA INTEGRASI DARUL ULUM,KAFAI,GOMBAK,AKTIF
BYT7032,KAFA INTEGRASI NUR AL-HUDA,KAFAI,GOMBAK,AKTIF
BYT7033,KAFA INTEGRASI AL-FURQAN,KAFAI,GOMBAK,AKTIF
BYT7034,KAFA INTEGRASI AL-AHMADIAH,KAFAI,GOMBAK,AKTIF
BYT7035,KAFA INTEGRASI DARUL FALAH,KAFAI,GOMBAK,AKTIF
BYT7036,KAFA INTEGRASI UMMUL QURA,KAFAI,GOMBAK,AKTIF
BYT7037,KAFA INTEGRASI ABU HANIFAH,KAFAI,GOMBAK,AKTIF
BYT7038,KAFA INTEGRASI AL-FALAH,KAFAI,GOMBAK,AKTIF
BYT7039,KAFA INTEGRASI AL-IMANIAH,KAFAI,GOMBAK,AKTIF
BYT7040,KAFA INTEGRASI AL-MUHAJIRIN,KAFAI,GOMBAK,AKTIF
BYT7041,KAFA INTEGRASI MA'ARIF AD-DINIYAH,KAFAI,GOMBAK,AKTIF
BYT7042,KAFA INTEGRASI AN-NUR,KAFAI,GOMBAK,AKTIF
BYT7043,KAFA INTEGRASI AT-TAIYIBBIN,KAFAI,GOMBAK,AKTIF
BYT7044,KAFA INTEGRASI AL-MANARAH,KAFAI,GOMBAK,AKTIF
BYT7045,KAFA AL-KAHFI,KAFAI,GOMBAK,AKTIF
BYT7046,KAFA INTEGRASI AN-NUR PENJARA SUNGAI BULOH,KAFAI,GOMBAK,AKTIF
BYT7048,KAFA INTEGRASI AN NASIHIN,KAFAI,GOMBAK,AKTIF
BYT7049,KAFA INTEGRASI AL-HUDA,KAFAI,GOMBAK,AKTIF
BYT7050,KAFA INTEGRASI IMPIAN INDAH,KAFAI,GOMBAK,AKTIF
BYT7051,KAFA INTEGRASI AL-ITTIFAQIYYAH,KAFAI,GOMBAK,AKTIF
BYT7052,KAFA INTEGRASI AL IMAN,KAFAI,GOMBAK,AKTIF
BYT7053,KAFA AL-FIRDAUS,KAFAI,GOMBAK,AKTIF
BYT7054,KAFA INTEGRASI AL-KARIMAH,KAFAI,GOMBAK,AKTIF
BYT7055,KAFA INTEGRASI AN-NUR BANDAR COUNTRY HOMES,KAFAI,GOMBAK,AKTIF
BYT7056,KAFA INTEGRASI AL-FALAH,KAFAI,GOMBAK,AKTIF
BYT7057,KAFA INTEGRASI NURUL JANNAH,KAFAI,GOMBAK,AKTIF
BYT7058,KAFA INTEGRASI DARUL HIDAYAH,KAFAI,GOMBAK,AKTIF
BYT7059,KAFA INTEGRASI AS- SYAKIRIN,KAFAI,GOMBAK,AKTIF
BYT7060,KAFA INTEGRASI BUKIT PERMATA(BARU),KAFAI,GOMBAK,AKTIF
BYT7061,KAFA INTEGRASI AL-MUTTAQIN,KAFAI,GOMBAK,AKTIF
