kod_sekolah,nama_sekolah,kategori,daerah,status
BZH7031,AKADEMI AT-TAJ,KAFAI,GOMBAK,AKTIF
BZH7023,AL-YATEM DARUL FURQON,KAFAI,GOMBAK,AKTIF
BZA7003,DAR AL MALIKI,KAFAI,GOMBAK,AKTIF
BZH7047,DARUL HAAFIZHIIN AL FURQAN,KAFAI,GOMBAK,AKTIF
BZH7043,DARUL QURAN PITAS,KAFAI,GOMBAK,AKTIF
BZH7019,INSTITUT TAHFIZ DARUL MASRI,KAFAI,GOMBAK,AKTIF
BZH7044,INSTITUT TAHFIZ DARUL MUTTAQIN,KAFAI,GOMBAK,AKTIF
BLL7009,MAAHAD INTEGRASI KARIMIYAH,KAFAI,GOMBAK,AKTIF
BZH7029,MAAHAD INTEGRASI TAHFIZ INSYIRAH,KAFAI,GOMBAK,AKTIF
BZH7048,MAAHAD ISLAMIAH WA TARBIATUL BANAT,KAFAI,GOMBAK,AKTIF
BZA7004,MAAHAD RUMI SUFI JAWI,KAFAI,GOMBAK,AKTIF
BZH7024,MAAHAD TAHFIZ ABU QASIM,KAFAI,GOMBAK,AKTIF
BZH7053,MAAHAD TAHFIZ AL QURAN QASIMUL ULUM (PRIMA SG),KAFAI,GOMBAK,AKTIF
BZH7056,MAAHAD TAHFIZ AL-MASHRAFE,KAFAI,GOMBAK,AKTIF
BZH7003,MAAHAD TAHFIZ AL-MUNAWWARAH,KAFAI,GOMBAK,AKTIF
BZH7041,MAAHAD TAHFIZ AL-QURAN AL-HABIBIYYAH,KAFAI,GOMBAK,AKTIF
BZH7022,MAAHAD TAHFIZ AL-QURAN AL-IMAM ASY-SYAFIE,KAFAI,GOMBAK,AKTIF
BZH7033,MAAHAD TAHFIZ AL-QURAN HAJI ISHAK,KAFAI,GOMBAK,AKTIF
BZH7034,MAAHAD TAHFIZ AL-QURAN MISBAHUL FALAH,KAFAI,GOMBAK,AKTIF
BZH7007,MAAHAD TAHFIZ AL-QURAN QASIMUL ULUM,KAFAI,GOMBAK,AKTIF
BZH7004,MAAHAD TAHFIZ AT-TIJARAH,KAFAI,GOMBAK,AKTIF
BZH7021,MAAHAD TAHFIZ BAITUL AINI,KAFAI,GOMBAK,AKTIF
BZH7016,MAAHAD TAHFIZ BAITUL EHSAN,KAFAI,GOMBAK,AKTIF
BZH7045,MAAHAD TAHFIZ DARUL HIDAYAH,KAFAI,GOMBAK,AKTIF
BZH7039,MAAHAD TAHFIZ DARUL MUHIBBIN,KAFAI,GOMBAK,AKTIF
BZH7035,MAAHAD TAHFIZ HIDAYATUL MUSTAQIM,KAFAI,GOMBAK,AKTIF
BZH7046,MAAHAD TAHFIZ HUZAIFIYYAH,KAFAI,GOMBAK,AKTIF
BZH7042,MAAHAD TAHFIZ IMANIYYAH ZAHIDIYYAH,KAFAI,GOMBAK,AKTIF
BZH7052,MAAHAD TAHFIZ INTEGRASI NADI HUFFAZ,KAFAI,GOMBAK,AKTIF
BZH7002,MAAHAD TAHFIZ MASJID AL-RIDHUAN,KAFAI,GOMBAK,AKTIF
BZH7025,MAAHAD TAHFIZ NUR HIKMAH,KAFAI,GOMBAK,AKTIF
BZH7027,MAAHAD TAHFIZ RAUDHATUL NUR IMAN,KAFAI,GOMBAK,AKTIF
BZH7012,MAAHAD TAHFIZ SAINS FATIMAH AZ-ZAHRAH,KAFAI,GOMBAK,AKTIF
BZH7055,MAAHAD TAHFIZ SAINS FATIMAH AZ-ZAHRAH (CAWANGAN PRIMA GOMBAK),KAFAI,GOMBAK,AKTIF
BZH7054,MAAHAD TAHFIZ TURATH INTEGRASI AL IKHWAN,KAFAI,GOMBAK,AKTIF
BZH7026,MAAHAD TAHFIZ WATTARBIYAH,KAFAI,GOMBAK,AKTIF
BZH7050,MADRASAH AL YAMANI GOMBAK,KAFAI,GOMBAK,AKTIF
BZH7051,MADRASAH AT-TAZKIYAH,KAFAI,GOMBAK,AKTIF
BZH7040,MADRASAH RIADHUL JANNAH LILBANAT,KAFAI,GOMBAK,AKTIF
BZH7049,MADRASAH TAHFIZ AL QURAN AL ISLAH,KAFAI,GOMBAK,AKTIF
BZH7017,MADRASAH TAHFIZ DARUL ZIKRI,KAFAI,GOMBAK,AKTIF
BZH7008,MADRASAH TAHFIZ SRI ALAM,KAFAI,GOMBAK,AKTIF
BZA7001,PONDOK AL-HABBAH ADDINIYAH AL KHALIDIYAH,KAFAI,GOMBAK,AKTIF
BZS7039,PRASEKOLAH NADI AL-BAGHDADI TAMAN BIDARA,KAFAI,GOMBAK,AKTIF
BAK7001,PRASEKOLAH SRA TAMAN PERMATA,KAFAI,GOMBAK,AKTIF
BZS7043,PUSAT PENDIDIKAN AWAL KANAK-KANAK AL-AMIN DARUL MUSTHOFA,KAFAI,GOMBAK,AKTIF
BZH7013,PUSAT TAHFIZ AD DINIYYAH,KAFAI,GOMBAK,AKTIF
